ville,temperature_type,jour,date,slug,option,token_yes,bestBid,bidVolume,bestAsk,askVolume,_collecte_le
New york,lowest,J+1,2026-09-11,lowest-temperature-in-nyc-on-september-11-2026,74-75°F,50960641840817703218051653436925171339266859433435164213889510407793146155895,0.03,33.96,0.06,44.81,2026-09-10T06:01:10.033328+00:00
New york,lowest,J+1,2026-09-11,lowest-temperature-in-nyc-on-september-11-2026,76-77°F,93694068804822805927221071009233221483620774182242347205757080096004546365493,,,0.03,10,2026-09-10T06:01:10.033328+00:00
New york,lowest,J+1,2026-09-11,lowest-temperature-in-nyc-on-september-11-2026,78-79°F,92525128297922450639968951780177343125061596278069837150134411798465813404262,0.002,15,0.062,20,2026-09-10T06:01:10.033328+00:00
New york,lowest,J+1,2026-09-11,lowest-temperature-in-nyc-on-september-11-2026,80°F or higher,46936714958004851513559769029191140368716861040340129409808019619679084203021,0.002,15,0.012,20,2026-09-10T06:01:10.033328+00:00
Miami,highest,J+0,2026-09-10,highest-temperature-in-miami-on-september-10-2026,79°F or below,66065198962450835712860781651972220798163578295897878121241976330014633497902,,,0.001,1969.08,2026-09-10T06:01:12.981719+00:00
Miami,highest,J+0,2026-09-10,highest-temperature-in-miami-on-september-10-2026,80-81°F,82537316090109081306929586450033755567429507246317505521492785521101564996925,,,0.001,2970.08,2026-09-10T06:01:12.981719+00:00
Miami,highest,J+0,2026-09-10,highest-temperature-in-miami-on-september-10-2026,82-83°F,85185311402145578707908280210253539043317323522960258780788000332186438764300,,,0.001,1520.1,2026-09-10T06:01:12.981719+00:00
Miami,highest,J+0,2026-09-10,highest-temperature-in-miami-on-september-10-2026,84-85°F,68200178302629701305085396641210032063605055449560305743191812803391564479500,0.06,15,0.08,8,2026-09-10T06:01:12.981719+00:00
Miami,highest,J+0,2026-09-10,highest-temperature-in-miami-on-september-10-2026,86-87°F,7239637765191798111258876696603232387750481710328331183867068189648743125200,0.09,21.19,0.1,12,2026-09-10T06:01:12.981719+00:00
Miami,highest,J+0,2026-09-10,highest-temperature-in-miami-on-september-10-2026,88-89°F,96858931630378322640772162249210928356656048946160794316260298548287108116363,0.34,15,0.35,7.9,2026-09-10T06:01:12.981719+00:00
Miami,highest,J+0,2026-09-10,highest-temperature-in-miami-on-september-10-2026,90-91°F,35132485395612240657598531032106369726705808696878153117461587896856251831321,0.39,33.1,0.44,43.2,2026-09-10T06:01:12.981719+00:00
Miami,highest,J+0,2026-09-10,highest-temperature-in-miami-on-september-10-2026,92-93°F,112280497053237133140659893319006584985994826868177817631484170550607750770200,0.05,140.02,0.07,30,2026-09-10T06:01:12.981719+00:00
Miami,highest,J+0,2026-09-10,highest-temperature-in-miami-on-september-10-2026,94-95°F,3516482621259498369818389233368335069285314056427150912064791065631730745047,,,0.001,209.19,2026-09-10T06:01:12.981719+00:00
Miami,highest,J+0,2026-09-10,highest-temperature-in-miami-on-september-10-2026,96-97°F,86337184317462765709760075101355561891348024914656963264338560549488890468954,,,0.001,166.18,2026-09-10T06:01:12.981719+00:00
Miami,highest,J+0,2026-09-10,highest-temperature-in-miami-on-september-10-2026,98°F or higher,2143573935668543688101303006854219464773181706977896394820443447473986693487,,,0.001,3176.2,2026-09-10T06:01:12.981719+00:00
Miami,highest,J+1,2026-09-11,highest-temperature-in-miami-on-september-11-2026,79°F or below,6570126511901126136657303721051391366821978106068749508867528822506860377289,0.001,856.52,0.002,67.45,2026-09-10T06:01:15.969680+00:00
Miami,highest,J+1,2026-09-11,highest-temperature-in-miami-on-september-11-2026,80-81°F,43152380549945671904838979927935198733431759390615145081471320355969070236135,0.001,986.14,0.004,32.84,2026-09-10T06:01:15.969680+00:00
Miami,highest,J+1,2026-09-11,highest-temperature-in-miami-on-september-11-2026,82-83°F,25642124734225102180766895988420747305121225599840172784521289581401701580540,0.005,67.96,0.009,19.82,2026-09-10T06:01:15.969680+00:00
Miami,highest,J+1,2026-09-11,highest-temperature-in-miami-on-september-11-2026,84-85°F,53716538539243665117939544060744059281766602649969527561442533352587748043887,0.01,553.54,0.03,25,2026-09-10T06:01:15.969680+00:00
Miami,highest,J+1,2026-09-11,highest-temperature-in-miami-on-september-11-2026,86-87°F,80060913865881302156315656128084163981940800311765763032802789225382285859518,0.03,872.96,0.07,20,2026-09-10T06:01:15.969680+00:00
Miami,highest,J+1,2026-09-11,highest-temperature-in-miami-on-september-11-2026,88-89°F,108940587886383234484371752795125630503646142201552052305651097096193546609958,0.26,5.61,0.27,106.83,2026-09-10T06:01:15.969680+00:00
Miami,highest,J+1,2026-09-11,highest-temperature-in-miami-on-september-11-2026,90-91°F,50853150899337209760417153676080169524377299960262249864740626140993626845217,0.47,278.84,0.48,748.84,2026-09-10T06:01:15.969680+00:00
Miami,highest,J+1,2026-09-11,highest-temperature-in-miami-on-september-11-2026,92-93°F,84222194441956961049894079116126763350520416692746478155644660383194774669236,0.15,25,0.17,91.89,2026-09-10T06:01:15.969680+00:00
Miami,highest,J+1,2026-09-11,highest-temperature-in-miami-on-september-11-2026,94-95°F,47415964677897514294085866458254490639522475168937507575248182277588198891445,0.02,392.5,0.05,91,2026-09-10T06:01:15.969680+00:00
Miami,highest,J+1,2026-09-11,highest-temperature-in-miami-on-september-11-2026,96-97°F,110820323590088924762446967342854028657278584549707700258335657714494382756614,0.01,204.16,0.02,332.05,2026-09-10T06:01:15.969680+00:00
Miami,highest,J+1,2026-09-11,highest-temperature-in-miami-on-september-11-2026,98°F or higher,65187798013445499433892215849668182263448792305660479563470422080707021253385,0.005,80,0.01,87.91,2026-09-10T06:01:15.969680+00:00
Miami,lowest,J+0,2026-09-10,lowest-temperature-in-miami-on-september-10-2026,73°F or below,24838774263491612754667383473799689798298786853331854404702128439115227745172,,,0.005,5,2026-09-10T06:01:19.045409+00:00
Miami,lowest,J+0,2026-09-10,lowest-temperature-in-miami-on-september-10-2026,74-75°F,83588320925441596279069689195195287705873136112998758115039890616359093501711,0.001,55.77,0.19,9,2026-09-10T06:01:19.045409+00:00
Miami,lowest,J+0,2026-09-10,lowest-temperature-in-miami-on-september-10-2026,76-77°F,114412368109227418458484756575278666509807746241394463701070748219849660715385,0.06,16.66,0.34,28.56,2026-09-10T06:01:19.045409+00:00
Miami,lowest,J+0,2026-09-10,lowest-temperature-in-miami-on-september-10-2026,78-79°F,75960993105704723756235467875636681643586311001632326276609973786006696839469,0.03,366.66,0.2,0.28,2026-09-10T06:01:19.045409+00:00
Miami,lowest,J+0,2026-09-10,lowest-temperature-in-miami-on-september-10-2026,80-81°F,115225708836443992882738474884497043135130804968980458742912072209540407508900,0.42,20,0.48,96.76,2026-09-10T06:01:19.045409+00:00
Miami,lowest,J+0,2026-09-10,lowest-temperature-in-miami-on-september-10-2026,82-83°F,38149046650040608710737660357091051471783558093491332051599514478702611639587,0.11,9.09,0.29,9.12,2026-09-10T06:01:19.045409+00:00
Miami,lowest,J+0,2026-09-10,lowest-temperature-in-miami-on-september-10-2026,84-85°F,77817346722214087819524897240407083799465744270589250371806175120586727044046,0.01,22.78,0.07,40,2026-09-10T06:01:19.045409+00:00
Miami,lowest,J+0,2026-09-10,lowest-temperature-in-miami-on-september-10-2026,86-87°F,85944513506434516150608201234835116460150096131862817155917013070679535325388,,,0.001,2661.1,2026-09-10T06:01:19.045409+00:00
Miami,lowest,J+0,2026-09-10,lowest-temperature-in-miami-on-september-10-2026,88-89°F,18889806653991192814490610027136843263252888045133023146613673939196689145333,,,0.001,1228.09,2026-09-10T06:01:19.045409+00:00
Miami,lowest,J+0,2026-09-10,lowest-temperature-in-miami-on-september-10-2026,90-91°F,24385635776785304681637244124523962999328649766020658914070436349003795121624,,,0.001,1361.92,2026-09-10T06:01:19.045409+00:00
Miami,lowest,J+0,2026-09-10,lowest-temperature-in-miami-on-september-10-2026,92°F or higher,72451134640243467935691637068776531774229362061838549899734750354342841659384,,,0.001,1358.91,2026-09-10T06:01:19.045409+00:00
Miami,lowest,J+1,2026-09-11,lowest-temperature-in-miami-on-september-11-2026,71°F or below,1442821544175271675545749024678359200540887040646490031346716904538346124994,,,0.06,18,2026-09-10T06:01:22.025705+00:00
Miami,lowest,J+1,2026-09-11,lowest-temperature-in-miami-on-september-11-2026,72-73°F,35081003124070576456628031237406630484670013604293358457922890195079694992644,,,0.04,20,2026-09-10T06:01:22.025705+00:00
Miami,lowest,J+1,2026-09-11,lowest-temperature-in-miami-on-september-11-2026,74-75°F,85046550166136955728543109756717078788412681119959406480546747385961954228248,,,0.08,15,2026-09-10T06:01:22.025705+00:00
Miami,lowest,J+1,2026-09-11,lowest-temperature-in-miami-on-september-11-2026,76-77°F,111764604142852229230624205503968186986728891389288397107333203375453121291285,,,0.11,20,2026-09-10T06:01:22.025705+00:00
Miami,lowest,J+1,2026-09-11,lowest-temperature-in-miami-on-september-11-2026,78-79°F,58310663035649678503335858223512719863045391333336383111308283610071224819563,0.22,41,0.25,46,2026-09-10T06:01:22.025705+00:00
Miami,lowest,J+1,2026-09-11,lowest-temperature-in-miami-on-september-11-2026,80-81°F,17432678809658304586501682452898989497972392016386938800180655791384327468529,0.42,20,0.45,45,2026-09-10T06:01:22.025705+00:00
Miami,lowest,J+1,2026-09-11,lowest-temperature-in-miami-on-september-11-2026,82-83°F,20611484750467930905251127439517375765575867795778246730152836329415451086301,0.26,119.68,0.29,170.08,2026-09-10T06:01:22.025705+00:00
Miami,lowest,J+1,2026-09-11,lowest-temperature-in-miami-on-september-11-2026,84-85°F,440796963151134414226070011167380452079954681390814972064620095950728366287,,,0.11,22.7,2026-09-10T06:01:22.025705+00:00
Miami,lowest,J+1,2026-09-11,lowest-temperature-in-miami-on-september-11-2026,86-87°F,97649245651591836473465122019471257592677209680266424904404140752673656421801,,,0.08,15,2026-09-10T06:01:22.025705+00:00
Miami,lowest,J+1,2026-09-11,lowest-temperature-in-miami-on-september-11-2026,88-89°F,8069828089777228164138688764802206996684637501449322559340952212399027834381,0.002,15,0.019,20,2026-09-10T06:01:22.025705+00:00
Miami,lowest,J+1,2026-09-11,lowest-temperature-in-miami-on-september-11-2026,90°F or higher,68042661872395840664399630198414560549271525827331680182936177736020301867657,0.002,15,0.018,56,2026-09-10T06:01:22.025705+00:00
Austin,highest,J+0,2026-09-10,highest-temperature-in-austin-on-september-10-2026,89°F or below,31442748601494127496539031231809126287326391823981193333752355644110717545108,,,0.004,122.93,2026-09-10T06:01:24.995111+00:00
Austin,highest,J+0,2026-09-10,highest-temperature-in-austin-on-september-10-2026,90-91°F,51795048336907326119186474931610962007025330176177622297159120102753893639005,0.01,5,0.051,139.75,2026-09-10T06:01:24.995111+00:00
Austin,highest,J+0,2026-09-10,highest-temperature-in-austin-on-september-10-2026,92-93°F,39503570417461022398133656947509744706298205408299131258072490856990743491958,0.076,6.57,0.198,13,2026-09-10T06:01:24.995111+00:00
